"id","subclass","subclass","subclass","subclass","subclass","subclass","subclass"
"Q1000156",,NULL,NULL,NULL,NULL,NULL,NULL
"Q1002108",,NULL,NULL,NULL,NULL,NULL,NULL
"Q100247281","Q82594","Q5157565","Q702269",NULL,NULL,NULL,NULL
"Q100247281","Q82594","Q942569",NULL,NULL,NULL,NULL,NULL
"Q100269042","Q177220","Q2643890",NULL,NULL,NULL,NULL,NULL
"Q100269042","Q177220","Q639669","Q109429537",NULL,NULL,NULL,NULL
"Q100269042","Q177220","Q639669","Q483501","Q2500638","Q215627",NULL,NULL
"Q100269042","Q177220","Q639669","Q24229398",NULL,NULL,NULL,NULL
"Q100269042","Q177220","Q108289408",NULL,NULL,NULL,NULL,NULL
"Q100319837","Q1731155","Q13418253","Q16727193","Q20826540","Q215627",NULL,NULL
"Q100319837","Q1731155","Q17135920",NULL,NULL,NULL,NULL,NULL
"Q100343194",,NULL,NULL,NULL,NULL,NULL,NULL
"Q100396444","Q16351788","Q215627",NULL,NULL,NULL,NULL,NULL
"Q100396444","Q16351788","Q2393196",NULL,NULL,NULL,NULL,NULL
"Q100396444","Q11499147",NULL,NULL,NULL,NULL,NULL,NULL
"Q100493654","Q639669","Q109429537",NULL,NULL,NULL,NULL,NULL
"Q100493654","Q639669","Q483501","Q2500638","Q215627",NULL,NULL,NULL
"Q100493654","Q639669","Q24229398",NULL,NULL,NULL,NULL,NULL
"Q100552979","Q58209937","Q37226","Q974144","Q108284914",NULL,NULL,NULL
"Q100552979","Q58209937","Q37226","Q974144","Q93918935",NULL,NULL,NULL
"Q100552979","Q58209937","Q201788","Q16727193","Q20826540","Q215627",NULL,NULL
"Q100552979","Q58209937","Q1391411","Q37226","Q974144","Q108284914",NULL,NULL
"Q100552979","Q58209937","Q1391411","Q37226","Q974144","Q93918935",NULL,NULL
"Q100552979","Q100709106","Q37226","Q974144","Q108284914",NULL,NULL,NULL
"Q100552979","Q100709106","Q37226","Q974144","Q93918935",NULL,NULL,NULL
"Q100605725","Q1607826",NULL,NULL,NULL,NULL,NULL,NULL
"Q1006676","Q16533","Q185351","Q702269",NULL,NULL,NULL,NULL
"Q1006676","Q16533","Q15987302","Q28640",NULL,NULL,NULL,NULL
"Q1006676","Q16533","Q15987302","Q108289030",NULL,NULL,NULL,NULL
"Q1006676","Q16533","Q15987302","Q57735705",NULL,NULL,NULL,NULL
"Q1006676","Q16533","Q6302990",NULL,NULL,NULL,NULL,NULL
"Q100684552","Q28107590","Q483501","Q2500638","Q215627",NULL,NULL,NULL
"Q100700933","Q15839134",NULL,NULL,NULL,NULL,NULL,NULL
"Q100700933","Q170790","Q901","Q1650915","Q66666685",NULL,NULL,NULL
"Q100700933","Q170790","Q901","Q1650915","Q15980158","Q36180","Q482980",NULL
"Q100700933","Q170790","Q901","Q1650915","Q15980158","Q36180","Q483501","Q2500638"
"Q100700933","Q170790","Q901","Q1650915","Q15980158","Q36180","Q108762424",NULL
"Q100700933","Q170790","Q901","Q20826540","Q215627",NULL,NULL,NULL
"Q100700933","Q2732142","Q170790","Q901","Q1650915","Q66666685",NULL,NULL
"Q100700933","Q2732142","Q170790","Q901","Q1650915","Q15980158","Q36180","Q482980"
"Q100700933","Q2732142","Q170790","Q901","Q1650915","Q15980158","Q36180","Q483501"
"Q100700933","Q2732142","Q170790","Q901","Q1650915","Q15980158","Q36180","Q108762424"
"Q100700933","Q2732142","Q170790","Q901","Q20826540","Q215627",NULL,NULL
"Q100707292","Q3127709","Q115246813",NULL,NULL,NULL,NULL,NULL
"Q100707292","Q21166956","Q115246813",NULL,NULL,NULL,NULL,NULL
"Q100709106","Q37226","Q974144","Q108284914",NULL,NULL,NULL,NULL
"Q100709106","Q37226","Q974144","Q93918935",NULL,NULL,NULL,NULL
"Q10080014","Q6502151",NULL,NULL,NULL,NULL,NULL,NULL
"Q10080014","Q273120",NULL,NULL,NULL,NULL,NULL,NULL
"Q1008767","Q63349579",NULL,NULL,NULL,NULL,NULL,NULL
"Q1008767","Q115042469",NULL,NULL,NULL,NULL,NULL,NULL
"Q100940415","Q19101121",NULL,NULL,NULL,NULL,NULL,NULL
"Q100954464","Q8246794",NULL,NULL,NULL,NULL,NULL,NULL
"Q100983844","Q15980158","Q36180","Q482980",NULL,NULL,NULL,NULL
"Q100983844","Q15980158","Q36180","Q483501","Q2500638","Q215627",NULL,NULL
"Q100983844","Q15980158","Q36180","Q108762424",NULL,NULL,NULL,NULL
"Q101067779","Q3578589","Q15253558",NULL,NULL,NULL,NULL,NULL
"Q101067779","Q1476215",NULL,NULL,NULL,NULL,NULL,NULL
